customer_id,name,email,age,city,state,signup_date,number_of_orders,total_spent,average_order_value,anomaly_prediction,is_anomaly
CUST00001,Sophia Jackson,sophia.jackson@example.com,59,Houston,TX,2024-07-29,2.0,265.6,132.8,1,False
CUST00002,Noah Johnson,noah.johnson@example.com,38,Austin,TX,2024-12-22,1.0,47.61,47.61,1,False
CUST00003,Amelia Martin,amelia.martin@example.com,52,Dallas,TX,2026-04-12,1.0,63.17,63.17,1,False
CUST00004,Harper Williams,harper.williams@example.com,58,Arlington,TX,2024-03-06,1.0,106.96,106.96,1,False
CUST00005,Isabella Thomas,isabella.thomas@example.com,57,Fort Worth,TX,2025-02-06,1.0,13.87,13.87,1,False
CUST00006,Mason Wilson,mason.wilson@example.com,20,Houston,TX,2024-04-07,1.0,42.18,42.18,1,False
CUST00007,Amelia Thomas,amelia.thomas@example.com,42,Austin,TX,2023-04-11,1.0,63.08,63.08,1,False
CUST00008,Olivia Miller,olivia.miller@example.com,62,Dallas,TX,2025-11-05,2.0,96.11,48.06,1,False
CUST00009,Sophia Wilson,sophia.wilson@example.com,55,Fort Worth,TX,2023-09-01,1.0,115.4,115.4,1,False
CUST00010,Lucas Moore,lucas.moore@example.com,62,Austin,TX,2026-06-26,0.0,0.0,0.0,1,False
CUST00011,Emma Johnson,emma.johnson@example.com,72,Plano,TX,2023-04-15,2.0,99.12,49.56,1,False
CUST00012,Sophia Jones,sophia.jones@example.com,37,Arlington,TX,2024-11-24,4.0,319.59,79.9,1,False
CUST00013,Isabella Moore,isabella.moore@example.com,69,Plano,TX,2026-04-07,2.0,80.87,40.44,1,False
CUST00014,Isabella Brown,isabella.brown@example.com,61,Arlington,TX,2025-12-06,0.0,0.0,0.0,1,False
CUST00015,Mason Jackson,mason.jackson@example.com,62,Fort Worth,TX,2025-12-02,1.0,40.0,40.0,1,False
CUST00016,Olivia Johnson,olivia.johnson@example.com,51,Denton,TX,2025-03-28,2.0,99.6,49.8,1,False
CUST00017,Noah Wilson,noah.wilson@example.com,38,Plano,TX,2023-08-09,5.0,335.28,67.06,1,False
CUST00018,Mason Wilson,mason.wilson@example.com,73,Arlington,TX,2023-05-24,2.0,100.75,50.38,1,False
CUST00019,Mason Garcia,mason.garcia@example.com,72,Houston,TX,2025-06-08,1.0,91.38,91.38,1,False
CUST00020,Emma Anderson,emma.anderson@example.com,65,Fort Worth,TX,2025-11-17,1.0,68.91,68.91,1,False
CUST00021,Ethan Garcia,ethan.garcia@example.com,40,Arlington,TX,2025-02-28,0.0,0.0,0.0,1,False
CUST00022,Olivia Davis,olivia.davis@example.com,23,Dallas,TX,2024-07-06,1.0,49.55,49.55,1,False
CUST00023,Liam Garcia,liam.garcia@example.com,68,Arlington,TX,2025-04-23,3.0,204.41,68.14,1,False
CUST00024,Mason Smith,mason.smith@example.com,70,Plano,TX,2024-10-20,1.0,53.39,53.39,1,False
CUST00025,James Brown,james.brown@example.com,30,Houston,TX,2025-04-16,0.0,0.0,0.0,1,False
